solution,guesses,feedback
beset,"['grace', 'seems', 'pixel', 'evils', 'puked', 'newsy']","[['absent', 'absent', 'absent', 'absent', 'present'], ['present', 'correct', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'present', 'absent']]"
crash,"['mazed', 'apart', 'ninja', 'koala', 'brash', 'chaps']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'present', 'correct', 'absent', 'present']]"
alter,"['paren', 'aimer', 'aster', 'after', 'alter']","[['absent', 'present', 'present', 'correct', 'absent'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cupid,"['apple', 'playa', 'dribs', 'reefs', 'hoagy', 'pixel']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'absent']]"
weird,"['gruff', 'warms', 'whirl', 'weird']","[['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'present', 'absent', 'absent'], ['correct', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
gases,"['reeve', 'damps', 'outer', 'spued', 'pixel', 'covey']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent']]"
faker,"['hinge', 'doter', 'raker', 'fumer', 'barer', 'paler']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
sedum,"['sleek', 'frown', 'shyer', 'filer', 'gooky', 'brine']","[['correct', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present']]"
noisy,"['fulls', 'shako', 'visor', 'moist', 'noisy']","[['absent', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'present', 'present', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
wooed,"['fiefs', 'laker', 'moped', 'towed', 'wooed']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
torso,"['coups', 'gorse', 'worst', 'torsi', 'torso']","[['absent', 'correct', 'absent', 'absent', 'present'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'present'], ['correct', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
butts,"['wonts', 'sects', 'sifts', 'cysts', 'cults', 'flits']","[['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct']]"
payee,"['leeks', 'outer', 'jived', 'hayey', 'axmen', 'ganef']","[['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent']]"
flics,"['fizzy', 'flies', 'flics']","[['correct', 'present', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
laugh,"['groom', 'algal', 'plugs', 'being', 'tinge', 'swigs']","[['present', 'absent', 'absent', 'absent', 'absent'], ['present', 'present', 'present', 'absent', 'absent'], ['absent', 'present', 'correct', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent']]"
soyas,"['trays', 'yawps', 'abyss', 'soyas']","[['absent', 'absent', 'present', 'present', 'correct'], ['present', 'present', 'absent', 'absent', 'correct'], ['present', 'absent', 'correct', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
wazoo,"['clamp', 'rajas', 'barer', 'byway', 'fatty', 'astro']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'correct']]"
spume,"['hairs', 'doest', 'unsew', 'segue', 'spume']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'present', 'absent'], ['present', 'absent', 'present', 'present', 'absent'], ['correct', 'absent', 'absent', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bight,"['crypt', 'faint', 'tight', 'legit', 'liest', 'light']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'absent', 'correct', 'present', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
ethic,"['favor', 'swish', 'lithe', 'ethic']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'present', 'present', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
grabs,"['porky', 'arise', 'crams', 'brads', 'grabs']","[['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['present', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
scare,"['untie', 'weave', 'mebbe', 'drape', 'plebe', 'homme']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'correct', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
broke,"['tiger', 'fresh', 'drape', 'broke']","[['absent', 'absent', 'absent', 'present', 'present'], ['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
rehab,"['glyph', 'thous', 'jihad', 'rehab']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cuing,"['semis', 'whipt', 'axing', 'going', 'bring', 'cuing']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
hewer,"['pixie', 'omega', 'deter', 'sever', 'fewer', 'hewer']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
puree,"['greek', 'outer', 'lures', 'puree']","[['absent', 'present', 'present', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
eyrie,"['strap', 'furor', 'birch', 'cored', 'lorry', 'world']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'present', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent'], ['absent', 'absent', 'correct', 'absent', 'present'], ['absent', 'absent', 'correct', 'absent', 'absent']]"
abuts,"['vicar', 'spang', 'dales', 'ammos', 'abyss', 'abuts']","[['absent', 'absent', 'absent', 'present', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
twang,"['divan', 'thane', 'twang']","[['absent', 'absent', 'absent', 'present', 'present'], ['correct', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
drear,"['dungs', 'dally', 'death', 'drear']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'absent'], ['correct', 'present', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
petal,"['muffs', 'tower', 'lithe', 'petal']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'present', 'absent'], ['present', 'absent', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
goopy,"['pared', 'snoop', 'goopy']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
funny,"['drops', 'alive', 'chuff', 'funny']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
unfit,"['prime', 'diddy', 'unfit']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pesky,"['safer', 'thews', 'noise', 'pesky']","[['present', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
toted,"['viand', 'hewed', 'trued', 'proud', 'coked', 'fused']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct']]"
guyed,"['taker', 'egged', 'bides', 'boxed', 'pixel', 'dines']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'present', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'absent', 'correct', 'absent']]"
alack,"['faire', 'slabs', 'clank', 'alack']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['present', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
floss,"['snarl', 'blocs', 'gloms', 'floss']","[['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
alarm,"['refly', 'slurs', 'alarm']","[['present', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
color,"['nabob', 'cohos', 'color']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
techs,"['necks', 'techs']","[['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
volts,"['diary', 'bench', 'gulps', 'tolls', 'molls', 'lolls']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['present', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct']]"
aspen,"['tsars', 'damps', 'outer', 'playa', 'thaws', 'abbey']","[['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['correct', 'absent', 'absent', 'correct', 'absent']]"
sumac,"['older', 'papas', 'tasks', 'visit', 'huzza', 'scamp']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'present'], ['correct', 'present', 'present', 'present', 'absent']]"
burgs,"['whisk', 'damps', 'feels', 'tyros', 'burrs', 'burns']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct']]"
oared,"['wings', 'melba', 'aurae', 'hayey', 'hated', 'crate']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['present', 'absent', 'correct', 'absent', 'present'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'present', 'present', 'absent', 'present']]"
hyped,"['couch', 'thats', 'hired', 'hewed', 'hexed', 'hyped']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
monad,"['batty', 'viand', 'knead', 'nomad', 'monad']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'correct'], ['absent', 'present', 'absent', 'correct', 'correct'], ['present', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
unset,"['spear', 'blues', 'fusee', 'unset']","[['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'correct', 'present'], ['absent', 'present', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
hulls,"['gluts', 'pulls', 'culls', 'lulls', 'hulls']","[['absent', 'present', 'present', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
altos,"['fasts', 'damps', 'outer', 'sways', 'bawdy', 'harps']","[['absent', 'present', 'absent', 'present', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['present', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'correct']]"
versa,"['pacts', 'swarf', 'asker', 'resay', 'versa']","[['absent', 'present', 'absent', 'absent', 'present'], ['present', 'absent', 'present', 'present', 'absent'], ['present', 'present', 'absent', 'present', 'present'], ['present', 'correct', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
kooky,"['suave', 'loony', 'roomy', 'woozy', 'booby', 'goopy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct']]"
henry,"['limns', 'knack', 'frown', 'never', 'genre', 'rente']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['present', 'correct', 'absent', 'absent', 'present'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['present', 'correct', 'correct', 'absent', 'absent']]"
boats,"['flown', 'visor', 'yogas', 'soaps', 'coats', 'boats']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
coati,"['czars', 'chant', 'coati']","[['correct', 'absent', 'correct', 'absent', 'absent'], ['correct', 'absent', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
expel,"['bobby', 'prize', 'supes', 'taped', 'expel']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
greek,"['visor', 'karat', 'reeky', 'greek']","[['absent', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'present', 'absent', 'absent'], ['present', 'present', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
barbs,"['saves', 'playa', 'hinds', 'waltz', 'limbs', 'doest']","[['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'present', 'absent']]"
steer,"['yummy', 'broth', 'stark', 'strew', 'steer']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['correct', 'correct', 'absent', 'present', 'absent'], ['correct', 'correct', 'present', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
skimp,"['carpy', 'depth', 'spunk', 'skimp']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
weary,"['dicky', 'mousy', 'tatty', 'weary']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
begot,"['clues', 'begot']","[['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
filar,"['usual', 'delay', 'lilac', 'polar', 'filar']","[['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
theft,"['fetes', 'outer', 'meads', 'brack', 'retch', 'bawdy']","[['present', 'present', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
sides,"['lards', 'downs', 'hides', 'tides', 'bides', 'sides']","[['absent', 'absent', 'absent', 'present', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
chuff,"['damns', 'boxer', 'tizzy', 'chuck', 'chuff']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
essay,"['begot', 'fries', 'lapse', 'essay']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'present'], ['absent', 'present', 'absent', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
crisp,"['sedan', 'hobos', 'fussy', 'pussy', 'rusty', 'grist']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent']]"
stray,"['pumas', 'shoal', 'sweat', 'sitar', 'stray']","[['absent', 'absent', 'absent', 'correct', 'present'], ['correct', 'absent', 'absent', 'correct', 'absent'], ['correct', 'absent', 'absent', 'correct', 'present'], ['correct', 'absent', 'present', 'correct', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sacks,"['musts', 'roles', 'sways', 'sands', 'sagas', 'sacks']","[['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['correct', 'absent', 'present', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
filar,"['blunt', 'voila', 'email', 'lilac', 'liras', 'filar']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'present'], ['absent', 'absent', 'present', 'present', 'present'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['present', 'correct', 'present', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
saver,"['freak', 'payer', 'baler', 'maser', 'saver']","[['absent', 'present', 'present', 'present', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
email,"['hatch', 'reman', 'amide', 'email']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'present', 'absent'], ['present', 'correct', 'present', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pavan,"['septa', 'champ', 'pally', 'pavan']","[['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'present'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
keyed,"['flaws', 'micro', 'tenth', 'keyed']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
hedge,"['toner', 'shell', 'heavy', 'hedge']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
dogma,"['terms', 'yummy', 'palmy', 'clump', 'champ', 'dogma']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'present', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
clews,"['kebab', 'outer', 'clefs', 'clews']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nasal,"['howdy', 'vises', 'knits', 'rajas', 'pixel', 'casus']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'absent']]"
grass,"['pengo', 'grata', 'light', 'gawky', 'guard', 'guava']","[['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'correct', 'present', 'absent'], ['correct', 'absent', 'correct', 'absent', 'absent']]"
kikes,"['shies', 'playa', 'whirr', 'passe', 'pulse', 'cushy']","[['absent', 'absent', 'present', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'present', 'present'], ['absent', 'absent', 'present', 'absent', 'absent']]"
curry,"['togas', 'prick', 'cuber', 'curry']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['correct', 'correct', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
radon,"['mauve', 'fancy', 'saran', 'lawns', 'baton', 'barns']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'correct', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'present', 'absent']]"
pilaf,"['roped', 'plait', 'pails', 'pilaf']","[['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'present', 'present', 'present', 'absent'], ['correct', 'present', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sales,"['dears', 'makes', 'laces', 'vales', 'bales', 'pales']","[['absent', 'present', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['present', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
